Lokasi,Latitude,Longtitude
Abata,-7.4290403762566335,109.24328330908477
Adi Permana,-7.437989132939497,109.24403561337178
alet mas plastik - studio beau,-7.434837215306529,109.29039933792112
Alfamart (deket telkom),-7.434520760968655,109.24870702057807
Alfamart Karanglewas 1,-7.419419518787998,109.20042845199279
Alfamart karanglewas 2,-7.419589742885631,109.19768186991031
Alfamart Kr Pucung,-5.4714128949761305,105.54761866674008
Alfamart Pancurawis,-7.4385277540269445,109.25390049559361
Alfamart Pramuka,-7.429588004972742,109.24920048024852
Alfamart Tj Elok,-7.442223523383662,109.2320489360673
Alfamart Wahid Hasyim,-7.451261148441124,109.24275369559378
Alfamidi Wahid Hasyim,-7.4485853329625344,109.24340968024866
ANS,-7.437227999471558,109.24434378259959
apotek dan Bank Jateng,-7.401843522539723,109.2452307844241
Apotek Hutami,-7.441484123052834,109.23744137116377
apotek Kebondalam/Rita Pasa,-7.424784837323569,109.24365096675731
Apotek Medika,-7.426773171028676,109.24366322770896
Apotik Karanglewas,-7.4198108208021685,109.19942056327646
Area Afra,-7.428296760727424,109.24856475439043
Area ATM,-7.437273428532991,109.26769804240912
Area Metro,-7.432208761700417,109.24063670046196
Arjuna Emas,-7.420160359318718,109.19885123931083
Bakmi Situmpur,-7.429008677786831,109.24408633116136
Bakso Kenthut,-7.423208347781094,109.23845740908472
Balai Paras,-7.423369447835493,109.2414878109385
Batik Mahkota,-7.42924482507205,109.24860874206112
BCL-Toko Lampu,-7.423842221512489,109.24382967616248
BRI Gerilya,-7.442016532956098,109.23651109559356
Central Plastik,-7.426237291012269,109.23419707668893
Deretan Eka Surya,-7.424620325991239,109.24290873995372
"deretan Rocket, BMT, dan Mixue",-7.419776224614679,109.19759018210233
Dokter Hewan (S Parman),-7.432584205822915,109.24370405827042
Dwi Tunggal,-7.436624982369774,109.24388709212708
Eka Ria,-7.420487046063872,109.19994973287386
Eka Ria boga,-7.420536242031068,109.20148980265222
Eka Surya,-7.429566865721957,109.24808517977033
Els Komputer,-7.426193642996182,109.24040463792102
Gajah Emas,-7.42028300085218,109.19979839057271
Gerai Indosat,-7.42605149090806,109.23437209092562
Indomaret Andang,-7.439156839243808,109.24440468838317
Indomaret Gerilya,-7.441528115624402,109.23717956675735
Indomaret Wahid Hasyim,-7.451463148427127,109.24265706919405
Inti Boga,-7.420375627608834,109.19904928569484
Java Ateka,-7.423323965439531,109.24259067594875
Jimmy Salon,-7.416238952904329,109.24566046851976
Jl. Djaydiwangsa,-7.425526393138799,109.20061090908473
Kaliandra,-7.4293245407165545,109.24860182692713
Lamongan Cak Arul,-7.440525313696694,109.24077329558784
Lina Bakery,-7.429371362238616,109.24664466675729
Lodeh,-7.430774075395624,109.24277770005301
Mahkota Putra,-7.42882376241487,109.24857292678199
Mardani Tani,-7.44068610010746,109.24095059559366
Matahari Bazzar,-7.429671298234358,109.24885880811074
Matahari Store,-7.424290757873854,109.24311795611996
Meubel,-7.441518000207556,109.23701713792121
Mie Ayam Pajak,-7.422735847621547,109.24073480908466
Mie Ayam Wanto,-7.429018043608769,109.24458049559358
Mie Eco,-7.429301606157954,109.25124111349125
Morodadi,-7.420715491048508,109.20161505326604
Oramen,-7.424296114811319,109.24211621337214
Pasar Burung,-7.43066379417235,109.24313449989133
Pecak Sambel,-7.435976997837367,109.24390592503235
Pegadaian,-7.427581065034708,109.24523847552194
Pelangi Baby Shop,-7.429222959960292,109.24470991093864
PMI,-7.423391259804049,109.23913291250354
Popular-Finance,-7.426231109223432,109.25074183670596
"ral Mode, Titipkue, Gajah Sak",-7.381336833679832,109.35894082628303
RM Ampera,-7.425034308487435,109.24061870832554
RM Lik Chip,-7.439267645833724,109.24483646675738
