Lokasi,Intensitas (kendaraan/jam),building_density
Toko Satria,1.75,0.2965361974453882
Toko Mlati,2.5,0.4637512405660314
Toko Pagoda,2.142857142857143,0.445390485380164
Matahari Bazzar,2.0,0.4580371828959278
Toko Bata,1.6363636363636365,0.4463564841862792
Kebondalam/Rita Pa,2.5,
Gerai Indosat,1.25,0.1430940083166099
Toko Cinderela,0.46153846153846156,0.434184624945522
Toko Daerah,0.7058823529411765,0.4458116255411073
ko Listrik Kebondale,0.18181818181818182,
BCL-Toko Lampu,2.1666666666666665,0.474102116565635
Matahari Store,5.909090909090909,0.4238880980915167
Deretan Eka Surya,0.6363636363636364,0.426948140543084
Toko Brasil,0.625,0.4174041543306174
Apotek Medika,0.42857142857142855,0.4668182486765118
Virgo Salon,0.5454545454545454,0.3858361622486208
Sukses Motor,2.5,0.4625203516634663
PMI,1.3571428571428572,0.4414429953408014
Mie Ayam Pajak,1.1666666666666667,0.4294799451737461
Java Ateka,2.0,0.4679263506450598
Oramen,2.6666666666666665,0.420792074764481
Balai Paras,0.7142857142857143,0.5045844896643285
RM Ampera,0.3076923076923077,0.4212827421771607
Els Komputer,0.46153846153846156,0.4056292418088442
Bakso Kenthut,1.25,0.4156950689138546
Toko Satria,0.375,0.2965361974453882
Toko Mlati,0.75,0.4637512405660314
Toko Pagoda,1.0,0.445390485380164
Matahari Bazzar,0.8,0.4580371828959278
Toko Bata,0.0,0.4463564841862792
Kebondalam/Rita Pa,0.0,
Gerai Indosat,0.375,0.1430940083166099
Toko Cinderela,0.15384615384615385,0.434184624945522
Toko Daerah,0.8235294117647058,0.4458116255411073
ko Listrik Kebondale,0.6363636363636364,
BCL-Toko Lampu,0.75,0.474102116565635
Matahari Store,1.1818181818181819,0.4238880980915167
Deretan Eka Surya,3.3636363636363638,0.426948140543084
Toko Brasil,0.5,0.4174041543306174
Apotek Medika,0.2857142857142857,0.4668182486765118
Virgo Salon,0.2727272727272727,0.3858361622486208
Sukses Motor,1.2,0.4625203516634663
PMI,0.2857142857142857,0.4414429953408014
Mie Ayam Pajak,0.6666666666666666,0.4294799451737461
Java Ateka,0.4444444444444444,0.4679263506450598
Oramen,1.0,0.420792074764481
Balai Paras,0.14285714285714285,0.5045844896643285
RM Ampera,0.07692307692307693,0.4212827421771607
Els Komputer,0.38461538461538464,0.4056292418088442
Bakso Kenthut,0.08333333333333333,0.4156950689138546
Toko Satria,2.5,0.2965361974453882
Toko Mlati,2.625,0.4637512405660314
Toko Pagoda,7.285714285714286,0.445390485380164
Matahari Bazzar,4.7,0.4580371828959278
Toko Bata,4.636363636363637,0.4463564841862792
Apotek Kebondalam/Rita Pa,3.9,
Gerai Indosat,1.5,0.1430940083166099
Toko Cinderela,0.6153846153846154,0.434184624945522
Toko Daerah,0.9411764705882353,0.4458116255411073
Toko Listrik Kebondalem,0.5454545454545454,0.440529769873019
BCL-Toko Lampu,4.75,0.474102116565635
Matahari Store,6.181818181818182,0.4238880980915167
Deretan Eka Surya,0.45454545454545453,0.426948140543084
Toko Brasil,0.875,0.4174041543306174
Apotek Medika,0.42857142857142855,0.4668182486765118
Virgo Salon,0.2727272727272727,0.3858361622486208
Sukses Motor,1.7,0.4625203516634663
PMI,1.3571428571428572,0.4414429953408014
Mie Ayam Pajak,2.8333333333333335,0.4294799451737461
Java Ateka,2.6666666666666665,0.4679263506450598
Oramen,2.7777777777777777,0.420792074764481
