Lokasi,Jenis_Kendaraan,Hari,Jam_Ramai_Lama,Jam_Ramai_Pukul,Jam_Sedang_Lama,Jam_Sedang_Pukul,Jam_Sepi_Lama,Jam_Sepi_Pukul,Banyak_Kendaraan_Ramai,Banyak_Kendaraan_Sedang,Banyak_Kendaraan_Sepi,Sirkulasi_Ramai,Sirkulasi_Sedang,Sirkulasi_Sepi,Total_Ramai,Total_Sedang,Total_Sepi,Total_Sehari,Tarif_Parkir,Pendapatan_Sehari,Total_Mingguan,Potensi_Tahunan,Total Sirkulasi,Total Durasi Jam,Intensitas (kendaraan/jam),Kerapatan jalan
Toko Satria,Motor,Weekday,2.0,15.00-17.00,3.0,09.00-12.00,3.0,13.00-15.00,10.0,7.0,5.0,7.0,5.0,2.0,24.0,22.0,11.0,57.0,1000.0,57000.0,285000.0,5472000.0,14.0,8.0,1.75,Sedang
Toko Mlati,Motor,Weekday,2.0,14.00-16.00,3.0,08.00-11.00,3.0,11.00-14.00,13.0,9.0,5.0,9.0,8.0,3.0,31.0,33.0,14.0,78.0,1000.0,78000.0,390000.0,7488000.0,20.0,8.0,2.5,Tinggi
Toko Pagoda,Motor,Weekday,2.0,13.00-15.00,3.0,09.00-12.00,2.0,15.00-17.00,27.0,14.0,8.0,7.0,5.0,3.0,41.0,29.0,14.0,84.0,1000.0,84000.0,420000.0,8064000.0,15.0,7.0,2.142857142857143,Sedang
Matahari Bazzar,Motor,Weekday,3.0,18.00-21.00,5.0,"09.00-12.00, 15",2.0,13.00-15.00,23.0,12.0,7.0,10.0,7.0,3.0,53.0,47.0,13.0,113.0,1000.0,113000.0,565000.0,10848000.0,20.0,10.0,2.0,Sedang
Toko Bata,Motor,Weekday,3.0,18.00-21.00,6.0,"08.00-12.00, 15",2.0,13.00-15.00,31.0,12.0,7.0,8.0,6.0,4.0,55.0,48.0,15.0,118.0,1000.0,118000.0,590000.0,11328000.0,18.0,11.0,1.6363636363636365,Sedang
Kebondalam/Rita Pa,Motor,Weekday,3.0,18.00-21.00,5.0,"09.00-12.00, 15",2.0,13.00-15.00,23.0,12.0,8.0,12.0,8.0,5.0,59.0,52.0,18.0,129.0,1000.0,129000.0,645000.0,12384000.0,25.0,10.0,2.5,Tinggi
Gerai Indosat,Motor,Weekday,2.0,11.00-13.00,3.0,13.00-16.00,3.0,08.00-11.00,9.0,5.0,3.0,5.0,3.0,2.0,19.0,14.0,9.0,42.0,1000.0,42000.0,210000.0,4032000.0,10.0,8.0,1.25,Sedang
Toko Cinderela,Motor,Weekday,2.0,18.00-20.00,5.0,"09.00-12.00,
16.00-18.00",6.0,12.00-16.00,4.0,2.0,1.0,3.0,2.0,1.0,10.0,12.0,7.0,29.0,1000.0,29000.0,145000.0,2784000.0,6.0,13.0,0.46153846153846156,Sedang
Toko Daerah,Motor,Weekday,2.0,13.00-15.00,3.0,09.00-13.00,3.5,13.00-16.30,6.0,5.0,2.0,3.0,2.0,1.0,12.0,11.0,5.5,29.0,1000.0,29000.0,145000.0,2784000.0,6.0,8.5,0.7058823529411765,Sedang
ko Listrik Kebondale,Motor,Weekday,3.0,09.00-12.00,3.0,17.00-20.00,5.0,12.00-17.00,2.0,2.0,1.0,1.0,1.0,0.0,5.0,5.0,1.0,11.0,1000.0,11000.0,55000.0,1056000.0,2.0,11.0,0.18181818181818182,Sedang
