Lokasi,Nilai Rekomendasi,Kategori
Toko Oleh-oleh Pramuka,0.8653746705897903,Direkomendasikan Lokasi Parkir Baru
RM Ampera,0.8642628810065507,Direkomendasikan Lokasi Parkir Baru
Apotek Medika,0.8633860414394765,Direkomendasikan Lokasi Parkir Baru
Toko Cinderela,0.8632618747372843,Direkomendasikan Lokasi Parkir Baru
Mie Eco,0.8623067632850244,Direkomendasikan Lokasi Parkir Baru
Alfamart (deket telkom),0.8619526643355677,Direkomendasikan Lokasi Parkir Baru
Alfamart Kr Pucung,0.861624649859944,Direkomendasikan Lokasi Parkir Baru
Els Komputer,0.861295690758226,Direkomendasikan Lokasi Parkir Baru
Apotek Hutami,0.8609698681732578,Direkomendasikan Lokasi Parkir Baru
Sumber Teknik,0.8604925303454722,Direkomendasikan Lokasi Parkir Baru
Alfamart Pramuka,0.8602832839674942,Direkomendasikan Lokasi Parkir Baru
Indomaret Gerilya,0.8591213950368877,Direkomendasikan Lokasi Parkir Baru
Rocket Chiken Wahid Hasyim,0.858470839807745,Direkomendasikan Lokasi Parkir Baru
Surya Indah,0.8584349593495935,Direkomendasikan Lokasi Parkir Baru
RS Bunda (Tepi Jalan),0.8582010582010585,Direkomendasikan Lokasi Parkir Baru
Toko Listrik Kebondalem,0.8576820839978736,Direkomendasikan Lokasi Parkir Baru
alet mas plastik - studio beau,0.8571315996847912,Direkomendasikan Lokasi Parkir Baru
Indomaret Wahid Hasyim,0.8568236032642815,Direkomendasikan Lokasi Parkir Baru
Virgo Salon,0.856276654897127,Direkomendasikan Lokasi Parkir Baru
Alfamart Wahid Hasyim,0.8562341153370724,Direkomendasikan Lokasi Parkir Baru
TB Gerilya,0.8555555555555554,Direkomendasikan Lokasi Parkir Baru
Toko Brasil,0.8549418604651168,Direkomendasikan Lokasi Parkir Baru
Meubel,0.8549418604651168,Direkomendasikan Lokasi Parkir Baru
Sonic Chicken,0.8547789727240828,Direkomendasikan Lokasi Parkir Baru
Bakso Kenthut,0.8543162393162389,Direkomendasikan Lokasi Parkir Baru
Lamongan Cak Arul,0.8542785956945396,Direkomendasikan Lokasi Parkir Baru
Mardani Tani,0.8536541253358417,Direkomendasikan Lokasi Parkir Baru
BRI Gerilya,0.853030303030303,Direkomendasikan Lokasi Parkir Baru
Sate Ahmad Yani,0.8523099850968704,Direkomendasikan Lokasi Parkir Baru
Toko Ibu,0.8520365168539322,Direkomendasikan Lokasi Parkir Baru
Jimmy Salon,0.8516169836732702,Direkomendasikan Lokasi Parkir Baru
PMI,0.8513117986047922,Direkomendasikan Lokasi Parkir Baru
Popular-Finance,0.8512467913458012,Direkomendasikan Lokasi Parkir Baru
Mahkota Putra,0.8510185185185183,Direkomendasikan Lokasi Parkir Baru
Mie Ayam Wanto,0.84923064650986,Direkomendasikan Lokasi Parkir Baru
Rocket Chicken,0.8474603174603175,Direkomendasikan Lokasi Parkir Baru
Salsa Snack,0.8474072656775671,Direkomendasikan Lokasi Parkir Baru
Bakmi Situmpur,0.847038327526132,Direkomendasikan Lokasi Parkir Baru
Wina dan Sembada,0.8463404046554208,Direkomendasikan Lokasi Parkir Baru
Central Plastik,0.8461556434154142,Direkomendasikan Lokasi Parkir Baru
Gerai Indosat,0.8461283662089317,Direkomendasikan Lokasi Parkir Baru
Area Metro,0.8455921052631582,Direkomendasikan Lokasi Parkir Baru
Soto Lawas,0.8451150360929732,Direkomendasikan Lokasi Parkir Baru
Alfamidi Wahid Hasyim,0.8443560959746802,Direkomendasikan Lokasi Parkir Baru
Pegadaian,0.842116115663356,Direkomendasikan Lokasi Parkir Baru
Wahyuningsari,0.8413796496398722,Direkomendasikan Lokasi Parkir Baru
Pelangi Baby Shop,0.838960625357126,Direkomendasikan Lokasi Parkir Baru
Balai Paras,0.8383381458289166,Direkomendasikan Lokasi Parkir Baru
Alfamart Tj Elok,0.8377562221932248,Direkomendasikan Lokasi Parkir Baru
Dwi Tunggal,0.8375393548856905,Direkomendasikan Lokasi Parkir Baru
Lina Bakery,0.8369866919246514,Direkomendasikan Lokasi Parkir Baru
Pecak Sambel,0.835785433627851,Direkomendasikan Lokasi Parkir Baru
Adi Permana,0.8316449318305732,Direkomendasikan Lokasi Parkir Baru
Dokter Hewan (S Parman),0.8299192485192338,Direkomendasikan Lokasi Parkir Baru
Alfamart Pancurawis,0.829726049187024,Direkomendasikan Lokasi Parkir Baru
Apotik Karanglewas,0.8289736361650971,Direkomendasikan Lokasi Parkir Baru
ANS,0.828944668367756,Direkomendasikan Lokasi Parkir Baru
terus jaya-tara plastik,0.8285511174527742,Direkomendasikan Lokasi Parkir Baru
Eka Surya,0.8267260851363442,Direkomendasikan Lokasi Parkir Baru
Alfamart Karanglewas 1,0.8217082539329786,Direkomendasikan Lokasi Parkir Baru
Warung SS-JailBreak,0.8216354423020957,Direkomendasikan Lokasi Parkir Baru
Eka Ria,0.8213983370079734,Direkomendasikan Lokasi Parkir Baru
terapi gratis,0.8192258514292975,Direkomendasikan Lokasi Parkir Baru
RM Lik Chip,0.8190478200459237,Direkomendasikan Lokasi Parkir Baru
Lodeh,0.8176940840397993,Direkomendasikan Lokasi Parkir Baru
Shinta,0.8166387573002631,Direkomendasikan Lokasi Parkir Baru
Rumah Teknik,0.8162236360848504,Direkomendasikan Lokasi Parkir Baru
Indomaret Andang,0.8139529383362903,Direkomendasikan Lokasi Parkir Baru
Pasar Burung,0.8130405303221796,Direkomendasikan Lokasi Parkir Baru
Sate Dua Saudara,0.8104606430522366,Direkomendasikan Lokasi Parkir Baru
tedja elektrik,0.8103690751078545,Direkomendasikan Lokasi Parkir Baru
Sami Asih 2,0.8095697882381232,Direkomendasikan Lokasi Parkir Baru
Tepi Jalan BJ,0.8062280354258636,Direkomendasikan Lokasi Parkir Baru
Toko Daerah,0.7843571901932551,Cukup Direkomendasikan Lokasi Parkir Baru
Batik Mahkota,0.7808038165651072,Cukup Direkomendasikan Lokasi Parkir Baru
Sami Asih 1,0.7448168325736976,Cukup Direkomendasikan Lokasi Parkir Baru
Toko Emas Kencana,0.7251129398278362,Cukup Direkomendasikan Lokasi Parkir Baru
Java Ateka,0.7229421381294618,Cukup Direkomendasikan Lokasi Parkir Baru
Toko Purwoaji,0.7199763159799124,Cukup Direkomendasikan Lokasi Parkir Baru
Mie Ayam Pajak,0.7165725047080981,Cukup Direkomendasikan Lokasi Parkir Baru
sumber boga,0.713000127582671,Cukup Direkomendasikan Lokasi Parkir Baru
Inti Boga,0.7121999943444427,Cukup Direkomendasikan Lokasi Parkir Baru
"ral Mode, Titipkue, Gajah Sak",0.6979066968502371,Cukup Direkomendasikan Lokasi Parkir Baru
Area Afra,0.6964275980978448,Cukup Direkomendasikan Lokasi Parkir Baru
Toko Dua Saudara,0.6819199630955256,Cukup Direkomendasikan Lokasi Parkir Baru
Toko Satria,0.6776581867081707,Cukup Direkomendasikan Lokasi Parkir Baru
Gajah Emas,0.6688506846768757,Cukup Direkomendasikan Lokasi Parkir Baru
Unyil Andang,0.6550593507418045,Cukup Direkomendasikan Lokasi Parkir Baru
Toko Bata,0.6408776458955998,Cukup Direkomendasikan Lokasi Parkir Baru
Sukses Motor,0.6387498432994849,Cukup Direkomendasikan Lokasi Parkir Baru
Toko Intisari,0.6157843978210678,Cukup Direkomendasikan Lokasi Parkir Baru
tral mode-gajah sakti-sinar b,0.6062442290318887,Cukup Direkomendasikan Lokasi Parkir Baru
Kaliandra,0.5907257034880747,Kurang Direkomendasikan Lokasi Parkir Baru
Toko Mlati,0.5834497929606625,Kurang Direkomendasikan Lokasi Parkir Baru
Oramen,0.5379883915083085,Kurang Direkomendasikan Lokasi Parkir Baru
Morodadi,0.5000000000000001,Kurang Direkomendasikan Lokasi Parkir Baru
Deretan Eka Surya,0.5,Kurang Direkomendasikan Lokasi Parkir Baru
Area ATM,0.49999999999999994,Kurang Direkomendasikan Lokasi Parkir Baru
Matahari Bazzar,0.49999999999999994,Kurang Direkomendasikan Lokasi Parkir Baru
Toko Pagoda,0.49999999999999994,Kurang Direkomendasikan Lokasi Parkir Baru
BCL-Toko Lampu,0.49999999999999994,Kurang Direkomendasikan Lokasi Parkir Baru
Eka Ria boga,0.4999999999999999,Kurang Direkomendasikan Lokasi Parkir Baru
Matahari Store,0.49999999999999983,Kurang Direkomendasikan Lokasi Parkir Baru
Abata,0.4999999999999997,Kurang Direkomendasikan Lokasi Parkir Baru
Arjuna Emas,0.49999999999999956,Kurang Direkomendasikan Lokasi Parkir Baru
Jl. Djaydiwangsa,,Tidak Direkomendasikan Lokasi Parkir Baru
