nama_bangunan,building_count,building_area_m2,buffer_area_m2,building_density,kategori_kerapatan
Abata,308,77048.48434175155,125461.9396215698,0.6141183898013413,Tinggi
Adi Permana,112,24856.43069031233,125461.9396215698,0.1981192923151567,Rendah
alet mas plastik - studio beau,0,0.0,125461.9396215698,0.0,Rendah
Alfamart (deket telkom),170,51275.39258794885,125461.9396215698,0.40869280948955955,Sedang
Alfamart Karanglewas 1,204,29104.133906986353,125461.9396215698,0.2319758007470074,Rendah
Alfamart karanglewas 2,233,32057.343123588216,125461.9396215698,0.2555144868657587,Rendah
Alfamart Kr Pucung,0,0.0,125461.9396215698,0.0,Rendah
Alfamart Pancurawis,131,39324.520813917596,125461.9396215698,0.3134378516108705,Sedang
Alfamart Pramuka,355,59234.09795431381,125461.9396215698,0.47212802649936153,Sedang
Alfamart Tj Elok,169,22075.65419686055,125461.9396215698,0.1759549889268987,Rendah
Alfamart Wahid Hasyim,281,48389.009744671275,125461.9396215698,0.38568676596764556,Sedang
Alfamidi Wahid Hasyim,171,43881.77006560943,125461.9396215698,0.34976161055671373,Sedang
ANS,94,26040.023741552937,125461.9396215698,0.20755317365646764,Rendah
apotek dan Bank Jateng,130,37682.06200346809,125461.9396215698,0.30034656021681394,Sedang
Apotek Hutami,415,58220.3613997511,125461.9396215698,0.464047993960247,Sedang
apotek Kebondalam/Rita Pasa,230,56094.15496349843,125461.9396215698,0.44710097048311975,Sedang
Apotek Medika,255,58567.92292969949,125461.9396215698,0.46681824867651184,Sedang
Apotik Karanglewas,285,39106.236680595495,125461.9396215698,0.31169800816527654,Sedang
Area Afra,195,68609.51908103446,125461.9396215698,0.5468552398279589,Sedang
Area ATM,178,51570.4362398177,125461.9396215698,0.41104446811016426,Sedang
Area Metro,339,51541.104543900714,125461.9396215698,0.4108106785162407,Sedang
Arjuna Emas,289,38475.91753500183,125461.9396215698,0.3066740212295182,Sedang
Bakmi Situmpur,366,50510.01740693199,125461.9396215698,0.4025923523841979,Sedang
Bakso Kenthut,166,52153.90963705433,125461.9396215698,0.4156950689138546,Sedang
Balai Paras,242,63306.14877624659,125461.9396215698,0.5045844896643285,Sedang
Batik Mahkota,324,58758.810618054995,125461.9396215698,0.4683397275324205,Sedang
BCL-Toko Lampu,209,59481.77112301616,125461.9396215698,0.47410211656563506,Sedang
BRI Gerilya,398,52963.65193374661,125461.9396215698,0.42214915609865905,Sedang
Central Plastik,112,17938.631326689196,125461.9396215698,0.14298066314610947,Rendah
Deretan Eka Surya,210,53565.7418303579,125461.9396215698,0.426948140543084,Sedang
"deretan Rocket, BMT, dan Mixue",220,30618.01447370438,125461.9396215698,0.2440422534998051,Rendah
Dokter Hewan (S Parman),78,39380.76859450829,125461.9396215698,0.31388617706128485,Sedang
Dwi Tunggal,72,22177.114682231986,125461.9396215698,0.17676368426253175,Rendah
Eka Ria,290,36969.67104963249,125461.9396215698,0.2946684162634813,Rendah
Eka Ria boga,207,34117.94495748462,125461.9396215698,0.2719386059261829,Rendah
Eka Surya,340,50284.61058178238,125461.9396215698,0.40079573720488926,Sedang
Els Komputer,222,50891.031444564345,125461.9396215698,0.4056292418088442,Sedang
Gajah Emas,284,37226.88172034048,125461.9396215698,0.2967185254159766,Rendah
Gerai Indosat,115,17952.851831626922,125461.9396215698,0.14309400831660993,Rendah
Indomaret Andang,141,32248.312694874483,125461.9396215698,0.25703661837322855,Rendah
Indomaret Gerilya,407,55327.114856335844,125461.9396215698,0.4409872430094635,Sedang
Indomaret Wahid Hasyim,319,49449.25304598548,125461.9396215698,0.39413748261137205,Sedang
Inti Boga,308,39699.50509469283,125461.9396215698,0.3164266805888562,Sedang
Java Ateka,191,58706.94755197199,125461.9396215698,0.4679263506450598,Sedang
Jimmy Salon,149,46493.46716327585,125461.9396215698,0.3705782590601887,Sedang
Jl. Djaydiwangsa,111,15873.510274048644,125461.9396215698,0.12652052345060047,Rendah
Kaliandra,329,56761.28489399747,125461.9396215698,0.4524183594260239,Sedang
Lamongan Cak Arul,242,47555.41304293686,125461.9396215698,0.3790425461807621,Sedang
Lina Bakery,317,41501.43012453936,125461.9396215698,0.3307890046154229,Sedang
Lodeh,258,64011.08709302524,125461.9396215698,0.5102032320407413,Sedang
Mahkota Putra,267,55287.07768993951,125461.9396215698,0.44066812498437086,Sedang
Mardani Tani,253,47299.51263467713,125461.9396215698,0.3770028805337013,Sedang
Matahari Bazzar,358,57466.23338492282,125461.9396215698,0.4580371828959278,Sedang
Matahari Store,198,53181.822969059926,125461.9396215698,0.4238880980915167,Sedang
Meubel,408,53615.22060741403,125461.9396215698,0.4273425133481384,Sedang
Mie Ayam Pajak,223,53883.38695006365,125461.9396215698,0.42947994517374616,Sedang
Mie Ayam Wanto,362,45596.12439529992,125461.9396215698,0.3634259484018123,Sedang
Mie Eco,429,57949.60367631616,125461.9396215698,0.46188990741821184,Sedang
Morodadi,205,29773.10091635608,125461.9396215698,0.2373078322091985,Rendah
Oramen,211,52793.389877336405,125461.9396215698,0.420792074764481,Sedang
Pasar Burung,268,64181.95830798638,125461.9396215698,0.511565168700389,Sedang
Pecak Sambel,68,22989.62818837441,125461.9396215698,0.1832398594961779,Rendah
Pegadaian,289,43135.50990389431,125461.9396215698,0.3438135105674575,Sedang
Pelangi Baby Shop,363,42119.23463473262,125461.9396215698,0.3357132430901088,Sedang
PMI,209,55384.29442781255,125461.9396215698,0.44144299534080145,Sedang
Popular-Finance,238,51825.522609564294,125461.9396215698,0.41307764542685493,Sedang
"ral Mode, Titipkue, Gajah Sak",0,0.0,125461.9396215698,0.0,Rendah
RM Ampera,293,52854.9499626403,125461.9396215698,0.4212827421771607,Sedang
RM Lik Chip,109,30197.149555445125,125461.9396215698,0.24068773084912148,Rendah
Rocket Chicken,373,46628.088397670654,125461.9396215698,0.3716512636287524,Sedang
Rocket Chiken Wahid Hasyim,311,49417.930039589904,125461.9396215698,0.39388782118823407,Sedang
RS Bunda (Tepi Jalan),427,55845.825635905945,125461.9396215698,0.4451216504730711,Sedang
Rumah Teknik,160,35564.16712489175,125461.9396215698,0.2834657843818114,Rendah
Salsa Snack,118,17279.271198141952,125461.9396215698,0.13772520375710218,Rendah
Sami Asih 1,312,35565.39993259357,125461.9396215698,0.2834756105307259,Rendah
Sami Asih 2,317,56681.00629716435,125461.9396215698,0.45177849528017,Sedang
Sate Ahmad Yani,353,55545.274847653185,125461.9396215698,0.4427260969756574,Sedang
