nama_bangunan,building_density,kategori_kerapatan
Abata,0.6141183898013413,Tinggi
Adi Permana,0.1981192923151567,Rendah
alet mas plastik - studio beau,0.0,Rendah
Alfamart (deket telkom),0.4086928094895595,Sedang
Alfamart Karanglewas 1,0.2319758007470074,Rendah
Alfamart karanglewas 2,0.2555144868657587,Rendah
Alfamart Kr Pucung,0.0,Rendah
Alfamart Pancurawis,0.3134378516108705,Sedang
Alfamart Pramuka,0.4721280264993615,Sedang
Alfamart Tj Elok,0.1759549889268987,Rendah
Alfamart Wahid Hasyim,0.3856867659676455,Sedang
Alfamidi Wahid Hasyim,0.3497616105567137,Sedang
ANS,0.2075531736564676,Rendah
apotek dan Bank Jateng,0.3003465602168139,Sedang
Apotek Hutami,0.464047993960247,Sedang
apotek Kebondalam/Rita Pasa,0.4471009704831197,Sedang
Apotek Medika,0.4668182486765118,Sedang
Apotik Karanglewas,0.3116980081652765,Sedang
Area Afra,0.5468552398279589,Sedang
Area ATM,0.4110444681101642,Sedang
Area Metro,0.4108106785162407,Sedang
Arjuna Emas,0.3066740212295182,Sedang
Bakmi Situmpur,0.4025923523841979,Sedang
Bakso Kenthut,0.4156950689138546,Sedang
Balai Paras,0.5045844896643285,Sedang
Batik Mahkota,0.4683397275324205,Sedang
BCL-Toko Lampu,0.474102116565635,Sedang
BRI Gerilya,0.422149156098659,Sedang
Central Plastik,0.1429806631461094,Rendah
Deretan Eka Surya,0.426948140543084,Sedang
"deretan Rocket, BMT, dan Mixue",0.2440422534998051,Rendah
Dokter Hewan (S Parman),0.3138861770612848,Sedang
Dwi Tunggal,0.1767636842625317,Rendah
Eka Ria,0.2946684162634813,Rendah
Eka Ria boga,0.2719386059261829,Rendah
Eka Surya,0.4007957372048892,Sedang
Els Komputer,0.4056292418088442,Sedang
Gajah Emas,0.2967185254159766,Rendah
Gerai Indosat,0.1430940083166099,Rendah
Indomaret Andang,0.2570366183732285,Rendah
Indomaret Gerilya,0.4409872430094635,Sedang
Indomaret Wahid Hasyim,0.394137482611372,Sedang
Inti Boga,0.3164266805888562,Sedang
Java Ateka,0.4679263506450598,Sedang
Jimmy Salon,0.3705782590601887,Sedang
Jl. Djaydiwangsa,0.1265205234506004,Rendah
Kaliandra,0.4524183594260239,Sedang
Lamongan Cak Arul,0.3790425461807621,Sedang
Lina Bakery,0.3307890046154229,Sedang
Lodeh,0.5102032320407413,Sedang
Mahkota Putra,0.4406681249843708,Sedang
Mardani Tani,0.3770028805337013,Sedang
Matahari Bazzar,0.4580371828959278,Sedang
Matahari Store,0.4238880980915167,Sedang
Meubel,0.4273425133481384,Sedang
Mie Ayam Pajak,0.4294799451737461,Sedang
Mie Ayam Wanto,0.3634259484018123,Sedang
Mie Eco,0.4618899074182118,Sedang
Morodadi,0.2373078322091985,Rendah
Oramen,0.420792074764481,Sedang
Pasar Burung,0.511565168700389,Sedang
Pecak Sambel,0.1832398594961779,Rendah
Pegadaian,0.3438135105674575,Sedang
Pelangi Baby Shop,0.3357132430901088,Sedang
PMI,0.4414429953408014,Sedang
Popular-Finance,0.4130776454268549,Sedang
"ral Mode, Titipkue, Gajah Sak",0.0,Rendah
RM Ampera,0.4212827421771607,Sedang
RM Lik Chip,0.2406877308491214,Rendah
Rocket Chicken,0.3716512636287524,Sedang
Rocket Chiken Wahid Hasyim,0.393887821188234,Sedang
RS Bunda (Tepi Jalan),0.4451216504730711,Sedang
Rumah Teknik,0.2834657843818114,Rendah
Salsa Snack,0.1377252037571021,Rendah
Sami Asih 1,0.2834756105307259,Rendah
Sami Asih 2,0.45177849528017,Sedang
Sate Ahmad Yani,0.4427260969756574,Sedang
Sate Dua Saudara,0.2713214534599617,Rendah
Shinta,0.2843533751968527,Rendah
Sonic Chicken,0.3807037762024655,Sedang
Soto Lawas,0.5017367521158683,Sedang
Sukses Motor,0.4625203516634663,Sedang
sumber boga,0.2820207615955572,Rendah
Sumber Teknik,0.431382835475663,Sedang
Surya Indah,0.4199858656972928,Sedang
TB Gerilya,0.4308826722928217,Sedang
tedja elektrik,0.2711310030610397,Rendah
Tepi Jalan BJ,0.2917132746900751,Rendah
terapi gratis,0.2401087148205152,Rendah
terus jaya-tara plastik,0.310725208629605,Sedang
Toko Bata,0.4463564841862792,Sedang
Toko Brasil,0.4174041543306174,Sedang
Toko Cinderela,0.434184624945522,Sedang
Toko Daerah,0.4458116255411073,Sedang
Toko Dua Saudara,0.2351680681580946,Rendah
Toko Emas Kencana,0.3072764230400064,Sedang
Toko Ibu,0.4811145546252627,Sedang
Toko Intisari,0.5715104788754971,Sedang
Toko Listrik Kebondalem,0.440529769873019,Sedang
Toko Mlati,0.4637512405660314,Sedang
Toko Oleh-oleh Pramuka,0.4293196412856563,Sedang
Toko Pagoda,0.445390485380164,Sedang
Toko Purwoaji,0.2845875648822722,Rendah
Toko Satria,0.2965361974453882,Rendah
tral mode-gajah sakti-sinar b,0.2347792137611469,Rendah
Unyil Andang,0.2694940012661302,Rendah
Virgo Salon,0.3858361622486208,Sedang
Wahyuningsari,0.3418955971175091,Sedang
Warung SS-JailBreak,0.2322159726900386,Rendah
Wina dan Sembada,0.3551922506654711,Sedang
